Country,Product_name,Quantity_purchased,Crop_name,Feedback,Comments,Price,Total_price,Manufacturing,Transaction_date,Expiration,Review,TextBlob_Polarity,TextBlob_Subjectivity,NLTK_Negative,NLTK_Neutral,NLTK_Positive,NLTK_Compound,Sentiment_Class
Bhutan,Maggi,14,['Wheat'],1,Very Poor,25,350,2020-05-26,2020-07-12,2020-08-24,Disappointed with the product.,-0.75,0.75,0.508,0.492,0.0,-0.4767,Negative
Nepal,Maggi,16,['Wheat'],3,Average,25,400,2025-03-10,2025-05-27,2025-06-08,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Bhutan,Pasta,22,"['Wheat', 'Barley']",5,Excellent,105,2310,2023-11-19,2024-01-27,2024-02-17,Outstanding product quality!,0.625,0.875,0.0,0.318,0.682,0.6476,Positive
Sri-Lanka,Pasta,42,"['Wheat', 'Barley']",3,Average,100,4200,2024-03-13,2024-04-23,2024-06-11,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Sri-Lanka,Pie,40,['Sugar'],0,No Feedback,35,1400,2023-03-12,2023-05-09,2023-06-10,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bangladesh,Biscuit,27,"['Wheat', 'Sugar', 'Barley']",1,Very Poor,18,486,2020-04-27,2020-07-19,2020-07-26,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Sri-Lanka,Cookie,24,"['Barley', 'Sugar']",5,Excellent,85,2040,2022-06-09,2022-08-05,2022-09-07,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Sri-Lanka,Biscuit,78,"['Wheat', 'Sugar', 'Barley']",1,Very Poor,22,1716,2023-08-16,2023-09-14,2023-11-14,Disappointed with the product.,-0.75,0.75,0.508,0.492,0.0,-0.4767,Negative
Pakistan,Maggi,43,['Wheat'],2,Poor,15,645,2022-08-05,2022-09-02,2022-11-03,"Not great, needs improvement.",-0.4,0.75,0.743,0.257,0.0,-0.6979,Negative
Sri-Lanka,Ketchup,67,['Tomato'],2,Poor,50,3350,2022-09-05,2022-10-04,2022-12-04,"Not great, needs improvement.",-0.4,0.75,0.743,0.257,0.0,-0.6979,Negative
Bangladesh,Nachos,90,['Maize'],0,No Feedback,35,3150,2024-08-28,2024-09-14,2024-11-26,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Nepal,Banana Chips,79,['Banana'],5,Excellent,45,3555,2021-11-19,2022-01-18,2022-02-17,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Bhutan,Pasta,97,"['Wheat', 'Barley']",0,No Feedback,105,10185,2021-08-02,2021-08-29,2021-10-31,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Pakistan,Pasta,46,"['Wheat', 'Barley']",5,Excellent,75,3450,2024-10-21,2025-01-14,2025-01-19,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Bhutan,Khari,26,['Cumin'],4,Good,45,1170,2022-06-28,2022-09-15,2022-09-26,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Pakistan,Nachos,86,['Maize'],4,Good,60,5160,2021-07-11,2021-09-18,2021-10-09,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Nepal,Pie,36,['Sugar'],4,Good,45,1620,2021-11-29,2022-02-09,2022-02-27,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
Pakistan,Banana Chips,46,['Banana'],1,Very Poor,30,1380,2024-04-27,2024-06-30,2024-07-26,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Bhutan,Maggi,54,['Wheat'],3,Average,25,1350,2025-02-18,2025-03-12,2025-05-19,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Bangladesh,Khari,30,['Cumin'],1,Very Poor,20,600,2021-05-17,2021-06-22,2021-08-15,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Pakistan,Maggi,73,['Wheat'],5,Excellent,15,1095,2024-07-09,2024-09-13,2024-10-07,Outstanding product quality!,0.625,0.875,0.0,0.318,0.682,0.6476,Positive
Bangladesh,Khari,45,['Cumin'],0,No Feedback,20,900,2024-02-28,2024-05-08,2024-05-28,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
India,Cookie,49,"['Barley', 'Sugar']",4,Good,100,4900,2023-12-12,2024-01-12,2024-03-11,Quite happy with the product.,0.8,1.0,0.0,0.5,0.5,0.6115,Positive
Bangladesh,Nachos,20,['Maize'],1,Very Poor,35,700,2023-04-18,2023-07-06,2023-07-17,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Bangladesh,Nachos,66,['Maize'],5,Excellent,35,2310,2024-07-16,2024-07-29,2024-10-14,Outstanding product quality!,0.625,0.875,0.0,0.318,0.682,0.6476,Positive
Nepal,Banana Chips,90,['Banana'],1,Very Poor,45,4050,2023-02-23,2023-03-31,2023-05-24,Disappointed with the product.,-0.75,0.75,0.508,0.492,0.0,-0.4767,Negative
Sri-Lanka,Banana Chips,25,['Banana'],4,Good,25,625,2022-11-25,2023-01-04,2023-02-23,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
Nepal,Khari,61,['Cumin'],1,Very Poor,35,2135,2021-06-29,2021-08-09,2021-09-27,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Bangladesh,Maggi,39,['Wheat'],5,Excellent,35,1365,2024-03-18,2024-04-16,2024-06-16,Outstanding product quality!,0.625,0.875,0.0,0.318,0.682,0.6476,Positive
Bhutan,Ketchup,62,['Tomato'],3,Average,65,4030,2020-11-26,2020-12-15,2021-02-24,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Sri-Lanka,Maggi,17,['Wheat'],0,No Feedback,30,510,2023-06-06,2023-07-03,2023-09-04,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Nepal,Toffee,57,['Sugar'],0,No Feedback,15,855,2024-06-25,2024-08-05,2024-09-23,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Pakistan,Maggi,61,['Wheat'],3,Average,15,915,2023-04-08,2023-04-21,2023-07-07,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Pakistan,Nachos,41,['Maize'],0,No Feedback,60,2460,2024-03-23,2024-05-21,2024-06-21,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Nepal,Nachos,26,['Maize'],2,Poor,55,1430,2024-04-13,2024-05-14,2024-07-12,"Not great, needs improvement.",-0.4,0.75,0.743,0.257,0.0,-0.6979,Negative
Bhutan,Banana Chips,36,['Banana'],5,Excellent,45,1620,2024-01-07,2024-03-29,2024-04-06,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
Bhutan,Banana Chips,74,['Banana'],3,Average,45,3330,2021-04-09,2021-05-17,2021-07-08,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Nepal,Toffee,28,['Sugar'],5,Excellent,15,420,2022-10-22,2022-12-25,2023-01-20,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
Pakistan,Toffee,77,['Sugar'],0,No Feedback,12,924,2022-11-15,2022-12-04,2023-02-13,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
India,Biscuit,17,"['Wheat', 'Sugar', 'Barley']",0,No Feedback,20,340,2020-11-08,2020-12-26,2021-02-06,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bangladesh,Maggi,52,['Wheat'],3,Average,35,1820,2023-10-04,2023-10-16,2024-01-02,Okay for the price.,0.5,0.5,0.0,0.612,0.388,0.2263,Positive
Bangladesh,Cookie,70,"['Barley', 'Sugar']",4,Good,80,5600,2023-08-16,2023-10-22,2023-11-14,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Bhutan,Banana Chips,62,['Banana'],3,Average,45,2790,2023-09-10,2023-11-21,2023-12-09,Okay for the price.,0.5,0.5,0.0,0.612,0.388,0.2263,Positive
Pakistan,Pie,39,['Sugar'],2,Poor,25,975,2021-06-11,2021-08-11,2021-09-09,Below average product.,-0.15,0.39999999999999997,0.0,1.0,0.0,0.0,Neutral
Bangladesh,Pie,33,['Sugar'],1,Very Poor,30,990,2023-07-25,2023-09-18,2023-10-23,Disappointed with the product.,-0.75,0.75,0.508,0.492,0.0,-0.4767,Negative
Bangladesh,Toffee,18,['Sugar'],0,No Feedback,10,180,2024-08-06,2024-08-20,2024-11-04,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
India,Ketchup,13,['Tomato'],1,Very Poor,60,780,2020-04-22,2020-07-02,2020-07-21,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Bangladesh,Maggi,50,['Wheat'],4,Good,35,1750,2023-11-18,2023-12-24,2024-02-16,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Nepal,Pasta,48,"['Wheat', 'Barley']",5,Excellent,100,4800,2023-07-01,2023-08-16,2023-09-29,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Sri-Lanka,Pasta,89,"['Wheat', 'Barley']",3,Average,100,8900,2020-01-16,2020-03-09,2020-04-15,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
India,Maggi,95,['Wheat'],1,Very Poor,25,2375,2024-11-07,2024-11-25,2025-02-05,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Bangladesh,Biscuit,65,"['Wheat', 'Sugar', 'Barley']",3,Average,18,1170,2021-06-28,2021-07-20,2021-09-26,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Sri-Lanka,Toffee,41,['Sugar'],1,Very Poor,10,410,2023-03-27,2023-05-23,2023-06-25,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Pakistan,Toffee,24,['Sugar'],3,Average,12,288,2023-10-18,2023-12-16,2024-01-16,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Bhutan,Maggi,56,['Wheat'],3,Average,25,1400,2025-04-25,2025-05-24,2025-07-24,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Bangladesh,Toffee,72,['Sugar'],3,Average,10,720,2023-11-05,2024-01-27,2024-02-03,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Bangladesh,Banana Chips,27,['Banana'],2,Poor,35,945,2020-04-14,2020-05-19,2020-07-13,Below average product.,-0.15,0.39999999999999997,0.0,1.0,0.0,0.0,Neutral
Pakistan,Toffee,36,['Sugar'],5,Excellent,12,432,2022-01-06,2022-03-28,2022-04-06,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
India,Nachos,22,['Maize'],3,Average,65,1430,2020-08-27,2020-10-26,2020-11-25,Okay for the price.,0.5,0.5,0.0,0.612,0.388,0.2263,Positive
India,Ketchup,18,['Tomato'],0,No Feedback,60,1080,2022-02-13,2022-05-02,2022-05-14,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Nepal,Maggi,16,['Wheat'],3,Average,25,400,2020-07-12,2020-08-26,2020-10-10,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Bangladesh,Toffee,20,['Sugar'],0,No Feedback,10,200,2023-12-11,2024-02-04,2024-03-10,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bhutan,Pasta,77,"['Wheat', 'Barley']",3,Average,105,8085,2020-11-21,2021-02-03,2021-02-19,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Bangladesh,Pie,89,['Sugar'],4,Good,30,2670,2025-06-27,2025-08-05,2025-09-25,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
India,Biscuit,30,"['Wheat', 'Sugar', 'Barley']",0,No Feedback,20,600,2025-07-07,2025-09-08,2025-10-05,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Nepal,Cookie,12,"['Barley', 'Sugar']",5,Excellent,95,1140,2020-05-27,2020-07-28,2020-08-25,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
Sri-Lanka,Banana Chips,21,['Banana'],4,Good,25,525,2024-05-21,2024-08-10,2024-08-19,Quite happy with the product.,0.8,1.0,0.0,0.5,0.5,0.6115,Positive
India,Pasta,19,"['Wheat', 'Barley']",1,Very Poor,120,2280,2022-06-14,2022-08-29,2022-09-12,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Pakistan,Ketchup,82,['Tomato'],4,Good,55,4510,2024-02-16,2024-05-07,2024-05-16,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Bhutan,Biscuit,30,"['Wheat', 'Sugar', 'Barley']",5,Excellent,25,750,2025-04-07,2025-04-30,2025-07-06,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
Pakistan,Khari,51,['Cumin'],0,No Feedback,25,1275,2022-05-16,2022-06-26,2022-08-14,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bhutan,Maggi,67,['Wheat'],5,Excellent,25,1675,2024-07-18,2024-10-03,2024-10-16,Outstanding product quality!,0.625,0.875,0.0,0.318,0.682,0.6476,Positive
Bangladesh,Ketchup,50,['Tomato'],3,Average,45,2250,2025-03-12,2025-03-30,2025-06-10,Okay for the price.,0.5,0.5,0.0,0.612,0.388,0.2263,Positive
Bhutan,Cookie,87,"['Barley', 'Sugar']",5,Excellent,105,9135,2021-02-20,2021-03-13,2021-05-21,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
Pakistan,Banana Chips,46,['Banana'],1,Very Poor,30,1380,2024-12-12,2025-02-25,2025-03-12,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
India,Maggi,41,['Wheat'],5,Excellent,25,1025,2024-09-09,2024-09-20,2024-12-08,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Bangladesh,Khari,56,['Cumin'],0,No Feedback,20,1120,2022-11-03,2022-11-24,2023-02-01,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
India,Khari,90,['Cumin'],0,No Feedback,40,3600,2024-09-24,2024-10-08,2024-12-23,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Nepal,Pie,52,['Sugar'],4,Good,45,2340,2024-10-02,2024-12-10,2024-12-31,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
India,Banana Chips,74,['Banana'],0,No Feedback,40,2960,2022-08-09,2022-09-27,2022-11-07,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
India,Banana Chips,49,['Banana'],2,Poor,40,1960,2024-02-14,2024-03-13,2024-05-14,Not what I expected.,-0.1,0.4,0.0,1.0,0.0,0.0,Neutral
Bangladesh,Nachos,68,['Maize'],1,Very Poor,35,2380,2024-12-07,2025-02-26,2025-03-07,Disappointed with the product.,-0.75,0.75,0.508,0.492,0.0,-0.4767,Negative
Pakistan,Khari,47,['Cumin'],1,Very Poor,25,1175,2025-02-27,2025-04-23,2025-05-28,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
Pakistan,Pasta,67,"['Wheat', 'Barley']",1,Very Poor,75,5025,2023-04-23,2023-06-13,2023-07-22,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Bhutan,Biscuit,43,"['Wheat', 'Sugar', 'Barley']",3,Average,25,1075,2025-02-09,2025-04-12,2025-05-10,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Sri-Lanka,Nachos,96,['Maize'],2,Poor,45,4320,2021-09-21,2021-12-01,2021-12-20,Not what I expected.,-0.1,0.4,0.0,1.0,0.0,0.0,Neutral
Bhutan,Cookie,76,"['Barley', 'Sugar']",4,Good,105,7980,2022-02-02,2022-03-23,2022-05-03,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
India,Pasta,83,"['Wheat', 'Barley']",2,Poor,120,9960,2024-10-09,2024-12-27,2025-01-07,Not what I expected.,-0.1,0.4,0.0,1.0,0.0,0.0,Neutral
Pakistan,Pie,45,['Sugar'],2,Poor,25,1125,2023-06-06,2023-07-07,2023-09-04,Not what I expected.,-0.1,0.4,0.0,1.0,0.0,0.0,Neutral
Bangladesh,Ketchup,47,['Tomato'],1,Very Poor,45,2115,2020-08-02,2020-09-17,2020-10-31,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
Bhutan,Khari,81,['Cumin'],4,Good,45,3645,2021-09-18,2021-09-28,2021-12-17,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Nepal,Ketchup,91,['Tomato'],1,Very Poor,55,5005,2023-08-15,2023-09-29,2023-11-13,Disappointed with the product.,-0.75,0.75,0.508,0.492,0.0,-0.4767,Negative
Bhutan,Banana Chips,18,['Banana'],1,Very Poor,45,810,2020-03-17,2020-04-05,2020-06-15,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
India,Biscuit,40,"['Wheat', 'Sugar', 'Barley']",2,Poor,20,800,2021-01-26,2021-03-04,2021-04-26,"Not great, needs improvement.",-0.4,0.75,0.743,0.257,0.0,-0.6979,Negative
Bangladesh,Ketchup,20,['Tomato'],0,No Feedback,45,900,2022-05-20,2022-06-11,2022-08-18,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bhutan,Biscuit,19,"['Wheat', 'Sugar', 'Barley']",3,Average,25,475,2021-02-02,2021-04-25,2021-05-03,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Sri-Lanka,Khari,76,['Cumin'],5,Excellent,35,2660,2020-05-25,2020-06-12,2020-08-23,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
Pakistan,Toffee,11,['Sugar'],4,Good,12,132,2024-02-07,2024-03-26,2024-05-07,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
Nepal,Ketchup,21,['Tomato'],1,Very Poor,55,1155,2022-12-04,2023-01-06,2023-03-04,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Pakistan,Banana Chips,49,['Banana'],3,Average,30,1470,2024-09-11,2024-09-29,2024-12-10,"Average product, nothing special.",0.10357142857142858,0.48571428571428565,0.429,0.571,0.0,-0.3089,Negative
Bangladesh,Ketchup,12,['Tomato'],3,Average,45,540,2023-07-30,2023-10-01,2023-10-28,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Nepal,Maggi,87,['Wheat'],2,Poor,25,2175,2021-01-20,2021-03-05,2021-04-20,"Not great, needs improvement.",-0.4,0.75,0.743,0.257,0.0,-0.6979,Negative
Nepal,Banana Chips,68,['Banana'],0,No Feedback,45,3060,2020-11-14,2021-01-03,2021-02-12,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Sri-Lanka,Khari,65,['Cumin'],1,Very Poor,35,2275,2024-03-17,2024-05-16,2024-06-15,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
Bhutan,Cookie,71,"['Barley', 'Sugar']",5,Excellent,105,7455,2025-04-21,2025-06-07,2025-07-20,Absolutely loved it!,0.875,0.8,0.0,0.308,0.692,0.6689,Positive
Nepal,Pie,18,['Sugar'],0,No Feedback,45,810,2024-01-08,2024-01-27,2024-04-07,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Nepal,Khari,83,['Cumin'],3,Average,35,2905,2023-04-04,2023-05-23,2023-07-03,Okay for the price.,0.5,0.5,0.0,0.612,0.388,0.2263,Positive
Bhutan,Pie,81,['Sugar'],0,No Feedback,55,4455,2022-08-31,2022-11-06,2022-11-29,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Nepal,Khari,87,['Cumin'],2,Poor,35,3045,2024-05-07,2024-06-14,2024-08-05,Below average product.,-0.15,0.39999999999999997,0.0,1.0,0.0,0.0,Neutral
Bangladesh,Pasta,56,"['Wheat', 'Barley']",2,Poor,95,5320,2023-03-24,2023-05-11,2023-06-22,Not what I expected.,-0.1,0.4,0.0,1.0,0.0,0.0,Neutral
India,Pasta,76,"['Wheat', 'Barley']",3,Average,120,9120,2023-10-21,2023-11-20,2024-01-19,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Bhutan,Nachos,62,['Maize'],4,Good,75,4650,2021-08-01,2021-09-06,2021-10-30,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
Nepal,Pie,35,['Sugar'],0,No Feedback,45,1575,2024-09-27,2024-11-06,2024-12-26,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Nepal,Nachos,49,['Maize'],5,Excellent,55,2695,2023-12-07,2023-12-23,2024-03-06,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Bhutan,Pasta,48,"['Wheat', 'Barley']",0,No Feedback,105,5040,2021-10-31,2021-11-30,2022-01-29,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bangladesh,Biscuit,47,"['Wheat', 'Sugar', 'Barley']",3,Average,18,846,2021-06-24,2021-09-04,2021-09-22,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
Sri-Lanka,Pie,60,['Sugar'],1,Very Poor,35,2100,2023-02-03,2023-03-21,2023-05-04,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
Sri-Lanka,Pasta,48,"['Wheat', 'Barley']",4,Good,100,4800,2024-05-10,2024-06-07,2024-08-08,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
Sri-Lanka,Biscuit,99,"['Wheat', 'Sugar', 'Barley']",2,Poor,22,2178,2021-12-02,2021-12-22,2022-03-02,Not what I expected.,-0.1,0.4,0.0,1.0,0.0,0.0,Neutral
Pakistan,Pasta,69,"['Wheat', 'Barley']",0,No Feedback,75,5175,2022-02-27,2022-04-20,2022-05-28,No feedback,0.0,0.0,0.688,0.312,0.0,-0.296,Negative
Bangladesh,Nachos,66,['Maize'],4,Good,35,2310,2025-02-28,2025-05-04,2025-05-29,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
India,Maggi,20,['Wheat'],1,Very Poor,25,500,2022-05-09,2022-07-13,2022-08-07,Very poor quality.,-0.52,0.78,0.629,0.371,0.0,-0.5256,Negative
India,Biscuit,51,"['Wheat', 'Sugar', 'Barley']",2,Poor,20,1020,2021-05-31,2021-07-08,2021-08-29,Below average product.,-0.15,0.39999999999999997,0.0,1.0,0.0,0.0,Neutral
Pakistan,Cookie,36,"['Barley', 'Sugar']",5,Excellent,75,2700,2022-04-12,2022-06-10,2022-07-11,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Nepal,Pasta,80,"['Wheat', 'Barley']",3,Average,100,8000,2025-05-30,2025-08-05,2025-08-28,Okay for the price.,0.5,0.5,0.0,0.612,0.388,0.2263,Positive
Nepal,Nachos,99,['Maize'],1,Very Poor,55,5445,2023-12-16,2024-02-11,2024-03-15,Would not recommend.,0.0,0.0,0.513,0.487,0.0,-0.2755,Negative
Pakistan,Toffee,80,['Sugar'],2,Poor,12,960,2025-03-11,2025-05-12,2025-06-09,Below average product.,-0.15,0.39999999999999997,0.0,1.0,0.0,0.0,Neutral
Sri-Lanka,Pie,37,['Sugar'],4,Good,35,1295,2024-03-26,2024-05-04,2024-06-24,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
Bhutan,Maggi,64,['Wheat'],4,Good,25,1600,2021-06-05,2021-07-25,2021-09-03,"Good product, no issues.",0.7,0.6000000000000001,0.31,0.282,0.408,0.1779,Positive
India,Pasta,11,"['Wheat', 'Barley']",3,Average,120,1320,2023-03-24,2023-04-25,2023-06-22,Okay for the price.,0.5,0.5,0.0,0.612,0.388,0.2263,Positive
Pakistan,Toffee,18,['Sugar'],4,Good,12,216,2025-03-01,2025-05-01,2025-05-30,Satisfactory purchase.,0.0,0.0,0.0,0.286,0.714,0.3612,Positive
India,Banana Chips,43,['Banana'],3,Average,40,1720,2024-04-12,2024-05-06,2024-07-11,Decent product overall.,0.08333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,Neutral
India,Maggi,55,['Wheat'],5,Excellent,25,1375,2021-09-30,2021-10-28,2021-12-29,Exceeded my expectations!,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
