Country,Product_name,Quantity_purchased,Crop_name,Feedback,Comments,Price,Total_price,Manufacturing,Transaction_date,Expiration,Review
Pakistan,Banana Chips,46,['Banana'],1,Very Poor,30,1380,2024-04-27,2024-06-30,2024-07-26,Very poor quality.
Bhutan,Maggi,54,['Wheat'],3,Average,25,1350,2025-02-18,2025-03-12,2025-05-19,Decent product overall.
Bangladesh,Khari,30,['Cumin'],1,Very Poor,20,600,2021-05-17,2021-06-22,2021-08-15,Very poor quality.
Pakistan,Maggi,73,['Wheat'],5,Excellent,15,1095,2024-07-09,2024-09-13,2024-10-07,Outstanding product quality!
Bangladesh,Khari,45,['Cumin'],0,No Feedback,20,900,2024-02-28,2024-05-08,2024-05-28,No feedback
India,Cookie,49,"['Barley', 'Sugar']",4,Good,100,4900,2023-12-12,2024-01-12,2024-03-11,Quite happy with the product.
Bangladesh,Nachos,20,['Maize'],1,Very Poor,35,700,2023-04-18,2023-07-06,2023-07-17,Very poor quality.
Bangladesh,Nachos,66,['Maize'],5,Excellent,35,2310,2024-07-16,2024-07-29,2024-10-14,Outstanding product quality!
Nepal,Banana Chips,90,['Banana'],1,Very Poor,45,4050,2023-02-23,2023-03-31,2023-05-24,Disappointed with the product.
Sri-Lanka,Banana Chips,25,['Banana'],4,Good,25,625,2022-11-25,2023-01-04,2023-02-23,Satisfactory purchase.
Nepal,Khari,61,['Cumin'],1,Very Poor,35,2135,2021-06-29,2021-08-09,2021-09-27,Very poor quality.
Bangladesh,Maggi,39,['Wheat'],5,Excellent,35,1365,2024-03-18,2024-04-16,2024-06-16,Outstanding product quality!
Bhutan,Ketchup,62,['Tomato'],3,Average,65,4030,2020-11-26,2020-12-15,2021-02-24,"Average product, nothing special."
Sri-Lanka,Maggi,17,['Wheat'],0,No Feedback,30,510,2023-06-06,2023-07-03,2023-09-04,No feedback
Nepal,Toffee,57,['Sugar'],0,No Feedback,15,855,2024-06-25,2024-08-05,2024-09-23,No feedback
Pakistan,Maggi,61,['Wheat'],3,Average,15,915,2023-04-08,2023-04-21,2023-07-07,Decent product overall.
Pakistan,Nachos,41,['Maize'],0,No Feedback,60,2460,2024-03-23,2024-05-21,2024-06-21,No feedback
Nepal,Nachos,26,['Maize'],2,Poor,55,1430,2024-04-13,2024-05-14,2024-07-12,"Not great, needs improvement."
Bhutan,Banana Chips,36,['Banana'],5,Excellent,45,1620,2024-01-07,2024-03-29,2024-04-06,Absolutely loved it!
Bhutan,Banana Chips,74,['Banana'],3,Average,45,3330,2021-04-09,2021-05-17,2021-07-08,"Average product, nothing special."
Nepal,Toffee,28,['Sugar'],5,Excellent,15,420,2022-10-22,2022-12-25,2023-01-20,Absolutely loved it!
Pakistan,Toffee,77,['Sugar'],0,No Feedback,12,924,2022-11-15,2022-12-04,2023-02-13,No feedback
India,Biscuit,17,"['Wheat', 'Sugar', 'Barley']",0,No Feedback,20,340,2020-11-08,2020-12-26,2021-02-06,No feedback
Bangladesh,Maggi,52,['Wheat'],3,Average,35,1820,2023-10-04,2023-10-16,2024-01-02,Okay for the price.
Bangladesh,Cookie,70,"['Barley', 'Sugar']",4,Good,80,5600,2023-08-16,2023-10-22,2023-11-14,"Good product, no issues."
Bhutan,Banana Chips,62,['Banana'],3,Average,45,2790,2023-09-10,2023-11-21,2023-12-09,Okay for the price.
Pakistan,Pie,39,['Sugar'],2,Poor,25,975,2021-06-11,2021-08-11,2021-09-09,Below average product.
Bangladesh,Pie,33,['Sugar'],1,Very Poor,30,990,2023-07-25,2023-09-18,2023-10-23,Disappointed with the product.
Bangladesh,Toffee,18,['Sugar'],0,No Feedback,10,180,2024-08-06,2024-08-20,2024-11-04,No feedback
India,Ketchup,13,['Tomato'],1,Very Poor,60,780,2020-04-22,2020-07-02,2020-07-21,Very poor quality.
Bangladesh,Maggi,50,['Wheat'],4,Good,35,1750,2023-11-18,2023-12-24,2024-02-16,"Good product, no issues."
Nepal,Pasta,48,"['Wheat', 'Barley']",5,Excellent,100,4800,2023-07-01,2023-08-16,2023-09-29,Exceeded my expectations!
Sri-Lanka,Pasta,89,"['Wheat', 'Barley']",3,Average,100,8900,2020-01-16,2020-03-09,2020-04-15,"Average product, nothing special."
India,Maggi,95,['Wheat'],1,Very Poor,25,2375,2024-11-07,2024-11-25,2025-02-05,Very poor quality.
Bangladesh,Biscuit,65,"['Wheat', 'Sugar', 'Barley']",3,Average,18,1170,2021-06-28,2021-07-20,2021-09-26,"Average product, nothing special."
Sri-Lanka,Toffee,41,['Sugar'],1,Very Poor,10,410,2023-03-27,2023-05-23,2023-06-25,Very poor quality.
Pakistan,Toffee,24,['Sugar'],3,Average,12,288,2023-10-18,2023-12-16,2024-01-16,"Average product, nothing special."
Bhutan,Maggi,56,['Wheat'],3,Average,25,1400,2025-04-25,2025-05-24,2025-07-24,"Average product, nothing special."
Bangladesh,Toffee,72,['Sugar'],3,Average,10,720,2023-11-05,2024-01-27,2024-02-03,"Average product, nothing special."
Bangladesh,Banana Chips,27,['Banana'],2,Poor,35,945,2020-04-14,2020-05-19,2020-07-13,Below average product.
Pakistan,Toffee,36,['Sugar'],5,Excellent,12,432,2022-01-06,2022-03-28,2022-04-06,Exceeded my expectations!
India,Nachos,22,['Maize'],3,Average,65,1430,2020-08-27,2020-10-26,2020-11-25,Okay for the price.
India,Ketchup,18,['Tomato'],0,No Feedback,60,1080,2022-02-13,2022-05-02,2022-05-14,No feedback
Nepal,Maggi,16,['Wheat'],3,Average,25,400,2020-07-12,2020-08-26,2020-10-10,Decent product overall.
Bangladesh,Toffee,20,['Sugar'],0,No Feedback,10,200,2023-12-11,2024-02-04,2024-03-10,No feedback
Bhutan,Pasta,77,"['Wheat', 'Barley']",3,Average,105,8085,2020-11-21,2021-02-03,2021-02-19,Decent product overall.
Bangladesh,Pie,89,['Sugar'],4,Good,30,2670,2025-06-27,2025-08-05,2025-09-25,Satisfactory purchase.
India,Biscuit,30,"['Wheat', 'Sugar', 'Barley']",0,No Feedback,20,600,2025-07-07,2025-09-08,2025-10-05,No feedback
Nepal,Cookie,12,"['Barley', 'Sugar']",5,Excellent,95,1140,2020-05-27,2020-07-28,2020-08-25,Absolutely loved it!
Sri-Lanka,Banana Chips,21,['Banana'],4,Good,25,525,2024-05-21,2024-08-10,2024-08-19,Quite happy with the product.
India,Pasta,19,"['Wheat', 'Barley']",1,Very Poor,120,2280,2022-06-14,2022-08-29,2022-09-12,Very poor quality.
Pakistan,Ketchup,82,['Tomato'],4,Good,55,4510,2024-02-16,2024-05-07,2024-05-16,"Good product, no issues."
Bhutan,Biscuit,30,"['Wheat', 'Sugar', 'Barley']",5,Excellent,25,750,2025-04-07,2025-04-30,2025-07-06,Absolutely loved it!
Pakistan,Khari,51,['Cumin'],0,No Feedback,25,1275,2022-05-16,2022-06-26,2022-08-14,No feedback
Bhutan,Maggi,67,['Wheat'],5,Excellent,25,1675,2024-07-18,2024-10-03,2024-10-16,Outstanding product quality!
Bangladesh,Ketchup,50,['Tomato'],3,Average,45,2250,2025-03-12,2025-03-30,2025-06-10,Okay for the price.
Bhutan,Cookie,87,"['Barley', 'Sugar']",5,Excellent,105,9135,2021-02-20,2021-03-13,2021-05-21,Absolutely loved it!
Pakistan,Banana Chips,46,['Banana'],1,Very Poor,30,1380,2024-12-12,2025-02-25,2025-03-12,Very poor quality.
India,Maggi,41,['Wheat'],5,Excellent,25,1025,2024-09-09,2024-09-20,2024-12-08,Exceeded my expectations!
Bangladesh,Khari,56,['Cumin'],0,No Feedback,20,1120,2022-11-03,2022-11-24,2023-02-01,No feedback
India,Khari,90,['Cumin'],0,No Feedback,40,3600,2024-09-24,2024-10-08,2024-12-23,No feedback
Nepal,Pie,52,['Sugar'],4,Good,45,2340,2024-10-02,2024-12-10,2024-12-31,Satisfactory purchase.
India,Banana Chips,74,['Banana'],0,No Feedback,40,2960,2022-08-09,2022-09-27,2022-11-07,No feedback
India,Banana Chips,49,['Banana'],2,Poor,40,1960,2024-02-14,2024-03-13,2024-05-14,Not what I expected.
Bangladesh,Nachos,68,['Maize'],1,Very Poor,35,2380,2024-12-07,2025-02-26,2025-03-07,Disappointed with the product.
Pakistan,Khari,47,['Cumin'],1,Very Poor,25,1175,2025-02-27,2025-04-23,2025-05-28,Would not recommend.
Pakistan,Pasta,67,"['Wheat', 'Barley']",1,Very Poor,75,5025,2023-04-23,2023-06-13,2023-07-22,Very poor quality.
Bhutan,Biscuit,43,"['Wheat', 'Sugar', 'Barley']",3,Average,25,1075,2025-02-09,2025-04-12,2025-05-10,Decent product overall.
Sri-Lanka,Nachos,96,['Maize'],2,Poor,45,4320,2021-09-21,2021-12-01,2021-12-20,Not what I expected.
Bhutan,Cookie,76,"['Barley', 'Sugar']",4,Good,105,7980,2022-02-02,2022-03-23,2022-05-03,Satisfactory purchase.
India,Pasta,83,"['Wheat', 'Barley']",2,Poor,120,9960,2024-10-09,2024-12-27,2025-01-07,Not what I expected.
Pakistan,Pie,45,['Sugar'],2,Poor,25,1125,2023-06-06,2023-07-07,2023-09-04,Not what I expected.
Bangladesh,Ketchup,47,['Tomato'],1,Very Poor,45,2115,2020-08-02,2020-09-17,2020-10-31,Would not recommend.
Bhutan,Khari,81,['Cumin'],4,Good,45,3645,2021-09-18,2021-09-28,2021-12-17,"Good product, no issues."
Nepal,Ketchup,91,['Tomato'],1,Very Poor,55,5005,2023-08-15,2023-09-29,2023-11-13,Disappointed with the product.
Bhutan,Banana Chips,18,['Banana'],1,Very Poor,45,810,2020-03-17,2020-04-05,2020-06-15,Would not recommend.
India,Biscuit,40,"['Wheat', 'Sugar', 'Barley']",2,Poor,20,800,2021-01-26,2021-03-04,2021-04-26,"Not great, needs improvement."
Bangladesh,Ketchup,20,['Tomato'],0,No Feedback,45,900,2022-05-20,2022-06-11,2022-08-18,No feedback
Bhutan,Biscuit,19,"['Wheat', 'Sugar', 'Barley']",3,Average,25,475,2021-02-02,2021-04-25,2021-05-03,"Average product, nothing special."
Sri-Lanka,Khari,76,['Cumin'],5,Excellent,35,2660,2020-05-25,2020-06-12,2020-08-23,Absolutely loved it!
Pakistan,Toffee,11,['Sugar'],4,Good,12,132,2024-02-07,2024-03-26,2024-05-07,Satisfactory purchase.
Nepal,Ketchup,21,['Tomato'],1,Very Poor,55,1155,2022-12-04,2023-01-06,2023-03-04,Very poor quality.
Pakistan,Banana Chips,49,['Banana'],3,Average,30,1470,2024-09-11,2024-09-29,2024-12-10,"Average product, nothing special."
Bangladesh,Ketchup,12,['Tomato'],3,Average,45,540,2023-07-30,2023-10-01,2023-10-28,Decent product overall.
Nepal,Maggi,87,['Wheat'],2,Poor,25,2175,2021-01-20,2021-03-05,2021-04-20,"Not great, needs improvement."
Nepal,Banana Chips,68,['Banana'],0,No Feedback,45,3060,2020-11-14,2021-01-03,2021-02-12,No feedback
Sri-Lanka,Khari,65,['Cumin'],1,Very Poor,35,2275,2024-03-17,2024-05-16,2024-06-15,Would not recommend.
Bhutan,Cookie,71,"['Barley', 'Sugar']",5,Excellent,105,7455,2025-04-21,2025-06-07,2025-07-20,Absolutely loved it!
Nepal,Pie,18,['Sugar'],0,No Feedback,45,810,2024-01-08,2024-01-27,2024-04-07,No feedback
Nepal,Khari,83,['Cumin'],3,Average,35,2905,2023-04-04,2023-05-23,2023-07-03,Okay for the price.
Bhutan,Pie,81,['Sugar'],0,No Feedback,55,4455,2022-08-31,2022-11-06,2022-11-29,No feedback
Nepal,Khari,87,['Cumin'],2,Poor,35,3045,2024-05-07,2024-06-14,2024-08-05,Below average product.
Bangladesh,Pasta,56,"['Wheat', 'Barley']",2,Poor,95,5320,2023-03-24,2023-05-11,2023-06-22,Not what I expected.
India,Pasta,76,"['Wheat', 'Barley']",3,Average,120,9120,2023-10-21,2023-11-20,2024-01-19,Decent product overall.
Bhutan,Nachos,62,['Maize'],4,Good,75,4650,2021-08-01,2021-09-06,2021-10-30,Satisfactory purchase.
Nepal,Pie,35,['Sugar'],0,No Feedback,45,1575,2024-09-27,2024-11-06,2024-12-26,No feedback
Nepal,Nachos,49,['Maize'],5,Excellent,55,2695,2023-12-07,2023-12-23,2024-03-06,Exceeded my expectations!
Bhutan,Pasta,48,"['Wheat', 'Barley']",0,No Feedback,105,5040,2021-10-31,2021-11-30,2022-01-29,No feedback
Bangladesh,Biscuit,47,"['Wheat', 'Sugar', 'Barley']",3,Average,18,846,2021-06-24,2021-09-04,2021-09-22,Decent product overall.
Sri-Lanka,Pie,60,['Sugar'],1,Very Poor,35,2100,2023-02-03,2023-03-21,2023-05-04,Very poor quality.
Sri-Lanka,Pasta,48,"['Wheat', 'Barley']",4,Good,100,4800,2024-05-10,2024-06-07,2024-08-08,"Good product, no issues."
Sri-Lanka,Biscuit,99,"['Wheat', 'Sugar', 'Barley']",2,Poor,22,2178,2021-12-02,2021-12-22,2022-03-02,Not what I expected.
Pakistan,Pasta,69,"['Wheat', 'Barley']",0,No Feedback,75,5175,2022-02-27,2022-04-20,2022-05-28,No feedback
Bangladesh,Nachos,66,['Maize'],4,Good,35,2310,2025-02-28,2025-05-04,2025-05-29,"Good product, no issues."
India,Maggi,20,['Wheat'],1,Very Poor,25,500,2022-05-09,2022-07-13,2022-08-07,Very poor quality.
India,Biscuit,51,"['Wheat', 'Sugar', 'Barley']",2,Poor,20,1020,2021-05-31,2021-07-08,2021-08-29,Below average product.
Pakistan,Cookie,36,"['Barley', 'Sugar']",5,Excellent,75,2700,2022-04-12,2022-06-10,2022-07-11,Exceeded my expectations!
Nepal,Pasta,80,"['Wheat', 'Barley']",3,Average,100,8000,2025-05-30,2025-08-05,2025-08-28,Okay for the price.
Nepal,Nachos,99,['Maize'],1,Very Poor,55,5445,2023-12-16,2024-02-11,2024-03-15,Would not recommend.
Pakistan,Toffee,80,['Sugar'],2,Poor,12,960,2025-03-11,2025-05-12,2025-06-09,Below average product.
Sri-Lanka,Pie,37,['Sugar'],4,Good,35,1295,2024-03-26,2024-05-04,2024-06-24,Satisfactory purchase.
Bhutan,Maggi,64,['Wheat'],4,Good,25,1600,2021-06-05,2021-07-25,2021-09-03,"Good product, no issues."
India,Pasta,11,"['Wheat', 'Barley']",3,Average,120,1320,2023-03-24,2023-04-25,2023-06-22,Okay for the price.
Pakistan,Toffee,18,['Sugar'],4,Good,12,216,2025-03-01,2025-05-01,2025-05-30,Satisfactory purchase.
India,Banana Chips,43,['Banana'],3,Average,40,1720,2024-04-12,2024-05-06,2024-07-11,Decent product overall.
India,Maggi,55,['Wheat'],5,Excellent,25,1375,2021-09-30,2021-10-28,2021-12-29,Exceeded my expectations!
Sri-Lanka,Ketchup,31,['Tomato'],4,Good,50,1550,2025-07-10,2025-08-26,2025-10-08,Satisfactory purchase.
Nepal,Toffee,88,['Sugar'],5,Excellent,15,1320,2023-07-17,2023-09-12,2023-10-15,Exceeded my expectations!
Nepal,Khari,15,['Cumin'],3,Average,35,525,2025-02-26,2025-04-07,2025-05-27,Decent product overall.
Nepal,Ketchup,77,['Tomato'],5,Excellent,55,4235,2022-03-13,2022-03-25,2022-06-11,Exceeded my expectations!
Sri-Lanka,Ketchup,33,['Tomato'],2,Poor,50,1650,2020-08-06,2020-08-27,2020-11-04,Not what I expected.
Pakistan,Nachos,28,['Maize'],0,No Feedback,60,1680,2020-02-03,2020-03-15,2020-05-03,No feedback
Bangladesh,Banana Chips,42,['Banana'],3,Average,35,1470,2025-04-30,2025-06-20,2025-07-29,Decent product overall.
Bhutan,Toffee,71,['Sugar'],1,Very Poor,15,1065,2020-10-22,2020-11-24,2021-01-20,Disappointed with the product.
India,Maggi,80,['Wheat'],0,No Feedback,25,2000,2021-03-01,2021-05-21,2021-05-30,No feedback
India,Nachos,68,['Maize'],5,Excellent,65,4420,2024-10-01,2024-11-04,2024-12-30,Exceeded my expectations!
Bangladesh,Cookie,84,"['Barley', 'Sugar']",0,No Feedback,80,6720,2021-06-21,2021-08-26,2021-09-19,No feedback
Bhutan,Cookie,50,"['Barley', 'Sugar']",2,Poor,105,5250,2023-06-21,2023-08-16,2023-09-19,"Not great, needs improvement."
Pakistan,Maggi,21,['Wheat'],1,Very Poor,15,315,2021-09-12,2021-11-13,2021-12-11,Disappointed with the product.
India,Khari,28,['Cumin'],5,Excellent,40,1120,2023-08-30,2023-11-07,2023-11-28,Absolutely loved it!
Bhutan,Toffee,73,['Sugar'],0,No Feedback,15,1095,2020-04-27,2020-05-30,2020-07-26,No feedback
India,Toffee,73,['Sugar'],5,Excellent,20,1460,2025-06-28,2025-08-03,2025-09-26,Outstanding product quality!
Pakistan,Banana Chips,90,['Banana'],0,No Feedback,30,2700,2024-12-12,2024-12-23,2025-03-12,No feedback
India,Khari,57,['Cumin'],3,Average,40,2280,2020-04-07,2020-05-03,2020-07-06,Okay for the price.
Bangladesh,Biscuit,63,"['Wheat', 'Sugar', 'Barley']",1,Very Poor,18,1134,2022-08-16,2022-10-15,2022-11-14,Would not recommend.
Nepal,Khari,78,['Cumin'],2,Poor,35,2730,2021-02-04,2021-04-18,2021-05-05,"Not great, needs improvement."
Bangladesh,Maggi,35,['Wheat'],3,Average,35,1225,2025-03-11,2025-05-16,2025-06-09,"Average product, nothing special."
Nepal,Ketchup,31,['Tomato'],0,No Feedback,55,1705,2024-06-01,2024-07-23,2024-08-30,No feedback
Pakistan,Cookie,15,"['Barley', 'Sugar']",3,Average,75,1125,2022-09-11,2022-09-25,2022-12-10,Okay for the price.
Bangladesh,Pasta,91,"['Wheat', 'Barley']",1,Very Poor,95,8645,2023-10-01,2023-12-23,2023-12-30,Would not recommend.
India,Ketchup,93,['Tomato'],2,Poor,60,5580,2021-09-27,2021-12-21,2021-12-26,"Not great, needs improvement."
Bhutan,Maggi,86,['Wheat'],3,Average,25,2150,2023-01-29,2023-04-07,2023-04-29,"Average product, nothing special."
Pakistan,Banana Chips,53,['Banana'],4,Good,30,1590,2021-07-23,2021-09-03,2021-10-21,Satisfactory purchase.
Bhutan,Khari,71,['Cumin'],0,No Feedback,45,3195,2020-10-18,2021-01-10,2021-01-16,No feedback
Nepal,Maggi,37,['Wheat'],2,Poor,25,925,2020-01-26,2020-02-15,2020-04-25,"Not great, needs improvement."
India,Ketchup,88,['Tomato'],4,Good,60,5280,2023-02-12,2023-05-05,2023-05-13,Quite happy with the product.
India,Pasta,59,"['Wheat', 'Barley']",5,Excellent,120,7080,2021-06-23,2021-07-03,2021-09-21,Absolutely loved it!
Sri-Lanka,Nachos,49,['Maize'],0,No Feedback,45,2205,2023-05-19,2023-06-21,2023-08-17,No feedback
Nepal,Biscuit,52,"['Wheat', 'Sugar', 'Barley']",1,Very Poor,24,1248,2021-09-30,2021-10-20,2021-12-29,Very poor quality.
India,Khari,59,['Cumin'],3,Average,40,2360,2024-05-06,2024-06-07,2024-08-04,"Average product, nothing special."
India,Nachos,78,['Maize'],3,Average,65,5070,2021-11-05,2021-12-29,2022-02-03,"Average product, nothing special."
Sri-Lanka,Biscuit,47,"['Wheat', 'Sugar', 'Barley']",4,Good,22,1034,2023-09-13,2023-12-01,2023-12-12,Quite happy with the product.
Bangladesh,Banana Chips,68,['Banana'],5,Excellent,35,2380,2023-10-13,2023-10-24,2024-01-11,Absolutely loved it!
Bhutan,Pie,25,['Sugar'],2,Poor,55,1375,2021-07-16,2021-09-04,2021-10-14,Below average product.
Sri-Lanka,Nachos,28,['Maize'],3,Average,45,1260,2022-12-30,2023-03-24,2023-03-30,Okay for the price.
Nepal,Pasta,66,"['Wheat', 'Barley']",2,Poor,100,6600,2024-04-09,2024-05-14,2024-07-08,Below average product.
India,Nachos,84,['Maize'],0,No Feedback,65,5460,2022-03-12,2022-05-24,2022-06-10,No feedback
Nepal,Cookie,62,"['Barley', 'Sugar']",5,Excellent,95,5890,2021-06-10,2021-07-25,2021-09-08,Absolutely loved it!
Bangladesh,Ketchup,76,['Tomato'],4,Good,45,3420,2021-04-05,2021-04-28,2021-07-04,Quite happy with the product.
Sri-Lanka,Pie,85,['Sugar'],5,Excellent,35,2975,2023-12-17,2024-01-31,2024-03-16,Exceeded my expectations!
Pakistan,Nachos,32,['Maize'],3,Average,60,1920,2023-04-16,2023-05-10,2023-07-15,"Average product, nothing special."
Nepal,Cookie,86,"['Barley', 'Sugar']",1,Very Poor,95,8170,2023-08-10,2023-09-18,2023-11-08,Very poor quality.
Sri-Lanka,Biscuit,62,"['Wheat', 'Sugar', 'Barley']",2,Poor,22,1364,2024-08-23,2024-10-01,2024-11-21,Not what I expected.
Nepal,Biscuit,40,"['Wheat', 'Sugar', 'Barley']",4,Good,24,960,2024-12-04,2025-01-19,2025-03-04,Satisfactory purchase.
Pakistan,Pie,50,['Sugar'],1,Very Poor,25,1250,2021-07-19,2021-09-12,2021-10-17,Disappointed with the product.
Sri-Lanka,Biscuit,83,"['Wheat', 'Sugar', 'Barley']",2,Poor,22,1826,2022-07-21,2022-10-10,2022-10-19,"Not great, needs improvement."
Sri-Lanka,Pie,17,['Sugar'],0,No Feedback,35,595,2025-01-06,2025-03-19,2025-04-06,No feedback
Nepal,Cookie,40,"['Barley', 'Sugar']",0,No Feedback,95,3800,2021-04-14,2021-06-19,2021-07-13,No feedback
Pakistan,Biscuit,62,"['Wheat', 'Sugar', 'Barley']",5,Excellent,15,930,2023-03-29,2023-05-11,2023-06-27,Exceeded my expectations!
Bangladesh,Ketchup,51,['Tomato'],5,Excellent,45,2295,2024-06-12,2024-07-15,2024-09-10,Exceeded my expectations!
Nepal,Banana Chips,41,['Banana'],5,Excellent,45,1845,2020-11-07,2020-12-03,2021-02-05,Exceeded my expectations!
Pakistan,Nachos,93,['Maize'],0,No Feedback,60,5580,2020-11-06,2020-11-23,2021-02-04,No feedback
India,Pasta,28,"['Wheat', 'Barley']",0,No Feedback,120,3360,2022-11-01,2022-11-26,2023-01-30,No feedback
Pakistan,Maggi,74,['Wheat'],2,Poor,15,1110,2021-04-11,2021-05-17,2021-07-10,"Not great, needs improvement."
Bhutan,Pie,51,['Sugar'],1,Very Poor,55,2805,2022-11-30,2022-12-12,2023-02-28,Would not recommend.
India,Banana Chips,61,['Banana'],1,Very Poor,40,2440,2021-02-24,2021-05-18,2021-05-25,Would not recommend.
Bhutan,Khari,67,['Cumin'],0,No Feedback,45,3015,2020-05-26,2020-06-12,2020-08-24,No feedback
Bhutan,Biscuit,89,"['Wheat', 'Sugar', 'Barley']",4,Good,25,2225,2022-12-19,2023-03-01,2023-03-19,Satisfactory purchase.
Bhutan,Nachos,37,['Maize'],5,Excellent,75,2775,2025-06-16,2025-07-15,2025-09-14,Absolutely loved it!
Nepal,Maggi,96,['Wheat'],0,No Feedback,25,2400,2021-06-07,2021-08-20,2021-09-05,No feedback
Bangladesh,Khari,19,['Cumin'],0,No Feedback,20,380,2024-05-05,2024-07-08,2024-08-03,No feedback
Pakistan,Maggi,11,['Wheat'],2,Poor,15,165,2022-06-19,2022-08-19,2022-09-17,Not what I expected.
India,Biscuit,67,"['Wheat', 'Sugar', 'Barley']",3,Average,20,1340,2021-03-18,2021-04-05,2021-06-16,"Average product, nothing special."
Bangladesh,Khari,80,['Cumin'],1,Very Poor,20,1600,2023-10-14,2023-11-22,2024-01-12,Would not recommend.
Nepal,Maggi,34,['Wheat'],0,No Feedback,25,850,2023-10-11,2023-11-13,2024-01-09,No feedback
India,Pie,51,['Sugar'],1,Very Poor,50,2550,2021-01-29,2021-02-21,2021-04-29,Very poor quality.
Pakistan,Pasta,50,"['Wheat', 'Barley']",3,Average,75,3750,2020-06-16,2020-08-22,2020-09-14,Okay for the price.
Nepal,Cookie,34,"['Barley', 'Sugar']",2,Poor,95,3230,2020-12-08,2021-02-19,2021-03-08,"Not great, needs improvement."
India,Toffee,11,['Sugar'],4,Good,20,220,2024-03-31,2024-05-13,2024-06-29,Quite happy with the product.
Nepal,Khari,46,['Cumin'],5,Excellent,35,1610,2025-06-04,2025-07-21,2025-09-02,Absolutely loved it!
Sri-Lanka,Pie,74,['Sugar'],2,Poor,35,2590,2021-11-29,2021-12-11,2022-02-27,Below average product.
